2021 super output area - lower layer,mnemonic,All persons,Female,Male
Bradford 001A,E01010646,1348,739,609
Bradford 001B,E01010647,1057,557,500
Bradford 001C,E01010648,1379,721,658
Bradford 001D,E01010692,1917,1013,904
Bradford 002A,E01010691,1576,822,754
Bradford 002B,E01010693,1476,760,716
Bradford 002C,E01010694,1541,803,738
Bradford 002D,E01010695,1554,845,709
Bradford 002E,E01010696,1611,816,795
Bradford 002F,E01010697,1449,783,666
Bradford 002G,E01010698,1933,1023,910
Bradford 002H,E01010699,1977,1045,932
Bradford 003A,E01010767,1444,744,700
Bradford 003B,E01010768,1626,823,803
Bradford 003C,E01010769,1567,814,753
Bradford 003D,E01010771,1224,625,599
Bradford 005A,E01010770,1768,868,900
Bradford 005B,E01010772,1269,651,618
Bradford 005C,E01010773,1562,787,775
Bradford 005D,E01010774,1596,820,776
Bradford 006A,E01010706,1564,806,758
Bradford 006B,E01010707,1831,873,958
Bradford 006C,E01010708,1675,852,823
Bradford 006D,E01010709,2718,1378,1340
Bradford 007A,E01010719,1862,922,940
Bradford 007B,E01010727,1707,837,870
Bradford 007C,E01010728,1894,953,941
Bradford 007D,E01010729,1723,890,833
Bradford 008A,E01010700,1644,813,831
Bradford 008B,E01010701,1505,766,739
Bradford 008C,E01010702,2060,1058,1002
Bradford 008D,E01010703,1661,888,773
Bradford 008E,E01010704,1359,679,680
Bradford 008F,E01010705,1654,878,776
Bradford 008G,E01010710,2001,915,1086
Bradford 009A,E01010712,1701,840,861
Bradford 009B,E01010720,1522,816,706
Bradford 009C,E01010721,1922,1008,914
Bradford 009D,E01010723,1582,803,779
Bradford 009E,E01010724,1386,713,673
Bradford 009F,E01010725,1533,793,740
Bradford 010A,E01010579,1509,766,743
Bradford 010B,E01010580,2513,1299,1214
Bradford 010C,E01010764,1620,819,801
Bradford 010D,E01010765,2282,1179,1103
Bradford 010E,E01010766,1216,642,574
Bradford 011A,E01010711,1535,690,845
Bradford 011B,E01010713,1567,825,742
Bradford 011C,E01010714,1383,714,669
Bradford 011D,E01010716,1990,994,996
Bradford 012A,E01010715,1065,572,493
Bradford 012B,E01010717,1636,889,747
Bradford 012C,E01010718,1515,803,712
Bradford 012D,E01010726,1426,705,721
Bradford 012E,E01010859,1837,963,874
Bradford 013A,E01010573,1830,926,904
Bradford 013B,E01010574,1406,740,666
Bradford 013C,E01010575,1574,822,752
Bradford 013D,E01010577,1552,790,762
Bradford 014A,E01010722,1639,823,816
Bradford 014B,E01010860,1723,881,842
Bradford 014C,E01010862,1634,834,800
Bradford 014D,E01010863,1413,715,698
Bradford 015A,E01010578,1604,816,788
Bradford 015B,E01010581,1645,831,814
Bradford 015C,E01010582,1669,855,814
Bradford 015D,E01010584,1769,913,856
Bradford 015E,E01010585,2009,1034,975
Bradford 016A,E01010568,1719,853,866
Bradford 016B,E01010569,1756,903,853
Bradford 016C,E01010571,1944,966,978
Bradford 016D,E01010572,1483,769,714
Bradford 016E,E01010576,1516,800,716
Bradford 017A,E01010683,2299,1171,1128
Bradford 017B,E01010684,1508,806,702
Bradford 017C,E01010685,1680,865,815
Bradford 017D,E01010686,1755,895,860
Bradford 018A,E01010570,1498,745,753
Bradford 018B,E01010583,1260,633,627
Bradford 018C,E01010784,1579,837,742
Bradford 018D,E01010785,1569,838,731
Bradford 018E,E01010786,1587,847,740
Bradford 018F,E01010790,1601,837,764
Bradford 019A,E01010680,1789,975,814
Bradford 019B,E01010681,1503,759,744
Bradford 019C,E01010682,1433,772,661
Bradford 019D,E01010687,1802,915,887
Bradford 019E,E01010688,1901,949,952
Bradford 019F,E01010689,1954,995,959
Bradford 019G,E01010690,1859,949,910
Bradford 020B,E01010782,2225,1113,1112
Bradford 020C,E01010787,1562,803,759
Bradford 020D,E01010788,1394,689,705
Bradford 020E,E01033689,1249,558,691
Bradford 020F,E01033694,1059,520,539
Bradford 021A,E01010776,1608,828,780
Bradford 021B,E01010777,1472,722,750
Bradford 021C,E01010779,1609,859,750
Bradford 021D,E01010781,1475,783,692
Bradford 021E,E01010783,1572,803,769
Bradford 022A,E01010586,1602,854,748
Bradford 022B,E01010587,2062,1063,999
Bradford 022C,E01010588,1585,833,752
Bradford 022D,E01010589,1355,736,619
Bradford 022E,E01010591,1593,829,764
Bradford 022F,E01010593,1698,907,791
Bradford 022G,E01010596,1536,796,740
Bradford 023A,E01010854,1736,881,855
Bradford 023B,E01010855,1613,819,794
Bradford 023C,E01010856,1478,778,700
Bradford 023D,E01010857,1614,831,783
Bradford 023E,E01010858,1569,802,767
Bradford 023F,E01010861,1767,887,880
Bradford 024A,E01010603,1626,840,786
Bradford 024B,E01010604,1800,917,883
Bradford 024C,E01010605,1599,810,789
Bradford 024D,E01010775,1778,897,881
Bradford 024E,E01010778,2040,1075,965
Bradford 025A,E01010789,1834,929,905
Bradford 025B,E01010791,1832,906,926
Bradford 025C,E01010792,1989,1006,983
Bradford 025D,E01010793,1845,913,932
Bradford 026A,E01010652,1661,852,809
Bradford 026B,E01010653,1968,1030,938
Bradford 026C,E01010655,1506,832,674
Bradford 026D,E01010656,1560,819,741
Bradford 026E,E01010657,1440,781,659
Bradford 027A,E01010649,1457,699,758
Bradford 027B,E01010650,2168,1160,1008
Bradford 027C,E01010654,1712,887,825
Bradford 027D,E01010826,1670,846,824
Bradford 028A,E01010597,1544,777,767
Bradford 028B,E01010598,1671,869,802
Bradford 028C,E01010599,1374,721,653
Bradford 028D,E01010600,1448,770,678
Bradford 028E,E01010602,1654,838,816
Bradford 029A,E01010670,1843,931,912
Bradford 029B,E01010671,1735,898,837
Bradford 029C,E01010673,1977,943,1034
Bradford 029D,E01010675,2154,1077,1077
Bradford 030A,E01010669,2231,1196,1035
Bradford 030B,E01010674,2273,1153,1120
Bradford 030D,E01010805,1838,917,921
Bradford 030E,E01033898,1594,811,783
Bradford 030F,E01033899,1651,894,757
Bradford 031A,E01010590,2200,1127,1073
Bradford 031B,E01010592,1665,912,753
Bradford 031C,E01010594,1670,874,796
Bradford 031D,E01010595,2137,1072,1065
Bradford 032A,E01010601,1831,944,887
Bradford 032B,E01010651,1671,840,831
Bradford 032C,E01010825,1539,783,756
Bradford 032D,E01010827,1557,740,817
Bradford 033A,E01010804,2292,1158,1134
Bradford 033B,E01010806,1683,871,812
Bradford 033C,E01010807,2326,1136,1190
Bradford 033D,E01010808,2335,1180,1155
Bradford 033E,E01010809,2152,1111,1041
Bradford 034A,E01010676,2420,1213,1207
Bradford 034B,E01010679,2103,1055,1048
Bradford 034C,E01010824,1917,959,958
Bradford 034D,E01010840,1882,946,936
Bradford 034E,E01010841,1835,872,963
Bradford 035A,E01010828,1640,851,789
Bradford 035B,E01010829,1694,817,877
Bradford 035C,E01010830,2429,1196,1233
Bradford 035D,E01010831,2197,1050,1147
Bradford 035E,E01010832,2429,1246,1183
Bradford 036A,E01010672,1347,686,661
Bradford 036B,E01010678,1419,700,719
Bradford 036C,E01010799,1598,823,775
Bradford 036D,E01010800,1833,977,856
Bradford 036E,E01010801,2025,1037,988
Bradford 036F,E01010802,2065,1104,961
Bradford 037A,E01010803,1916,993,923
Bradford 037B,E01010810,2219,1120,1099
Bradford 037C,E01010811,2249,1150,1099
Bradford 037D,E01010813,1905,965,940
Bradford 038A,E01010618,1805,925,880
Bradford 038B,E01010619,2216,1132,1084
Bradford 038C,E01010625,1847,966,881
Bradford 038D,E01010626,2144,1075,1069
Bradford 038E,E01010627,1662,827,835
Bradford 040A,E01010628,1857,957,900
Bradford 040B,E01010629,2309,1199,1110
Bradford 040C,E01010630,1941,991,950
Bradford 040D,E01010631,1591,851,740
Bradford 040E,E01010632,1536,802,734
Bradford 041A,E01010658,1987,1021,966
Bradford 041B,E01010812,2074,1008,1066
Bradford 041C,E01010833,1741,878,863
Bradford 041D,E01010843,2045,1024,1021
Bradford 042A,E01010620,2011,990,1021
Bradford 042B,E01010621,2336,1137,1199
Bradford 042C,E01010622,2627,1337,1290
Bradford 042D,E01010623,1699,830,869
Bradford 042E,E01010624,2170,1055,1115
Bradford 043A,E01010794,1983,1031,952
Bradford 043B,E01010795,1939,977,962
Bradford 043C,E01010796,1692,876,816
Bradford 043D,E01010797,1414,713,701
Bradford 043E,E01010798,1503,760,743
Bradford 044A,E01010834,2849,1330,1519
Bradford 044C,E01010836,2051,961,1090
Bradford 044D,E01010837,2108,1068,1040
Bradford 044E,E01010838,2184,1066,1118
Bradford 044F,E01010839,1683,857,826
Bradford 044G,E01033900,1584,770,814
Bradford 044H,E01033901,1666,844,822
Bradford 045A,E01010608,1739,893,846
Bradford 045B,E01010613,1644,882,762
Bradford 045C,E01010730,1278,587,691
Bradford 045D,E01010734,1552,766,786
Bradford 046A,E01010609,1614,852,762
Bradford 046B,E01010610,2096,1131,965
Bradford 046C,E01010611,2226,1151,1075
Bradford 046D,E01010614,1708,762,946
Bradford 047A,E01010633,1505,772,733
Bradford 047B,E01010634,1569,807,762
Bradford 047C,E01010635,1460,768,692
Bradford 047D,E01010636,1701,898,803
Bradford 047E,E01010637,2050,1316,734
Bradford 048A,E01010731,1615,731,884
Bradford 048B,E01010732,1613,827,786
Bradford 048C,E01010733,1668,816,852
Bradford 048D,E01010736,2057,1038,1019
Bradford 048E,E01010737,1680,841,839
Bradford 049A,E01010659,1957,1069,888
Bradford 049D,E01010662,1483,775,708
Bradford 049E,E01010664,1594,804,790
Bradford 049G,E01010761,1714,909,805
Bradford 049H,E01033695,2168,1172,996
Bradford 049I,E01033696,1592,807,785
Bradford 049J,E01033697,2824,1422,1402
Bradford 050A,E01010663,1797,908,889
Bradford 050B,E01010665,1899,978,921
Bradford 050C,E01010666,1759,939,820
Bradford 050D,E01010667,1862,934,928
Bradford 051A,E01010735,1876,930,946
Bradford 051B,E01010738,2064,1009,1055
Bradford 051C,E01010739,2075,996,1079
Bradford 051D,E01010740,1920,932,988
Bradford 051E,E01010744,1843,947,896
Bradford 052A,E01010612,1448,724,724
Bradford 052B,E01010819,1493,755,738
Bradford 052C,E01010820,1454,733,721
Bradford 052D,E01010821,1931,1069,862
Bradford 052E,E01010822,1273,651,622
Bradford 053A,E01010615,1370,696,674
Bradford 053B,E01010616,1934,1021,913
Bradford 053C,E01010742,2096,1067,1029
Bradford 053D,E01010743,1675,792,883
Bradford 054A,E01010847,1619,828,791
Bradford 054B,E01010848,1585,831,754
Bradford 054C,E01010852,1957,1021,936
Bradford 054D,E01010853,1430,726,704
Bradford 055A,E01010668,1475,762,713
Bradford 055B,E01010755,2006,1078,928
Bradford 055C,E01010762,1572,801,771
Bradford 055D,E01010763,1647,847,800
Bradford 055E,E01010846,2138,1133,1005
Bradford 056A,E01010745,1898,966,932
Bradford 056B,E01010747,1606,819,787
Bradford 056C,E01010748,1612,847,765
Bradford 056D,E01010749,1337,725,612
Bradford 057A,E01010814,1625,844,781
Bradford 057B,E01010815,2591,1326,1265
Bradford 057C,E01010816,1912,950,962
Bradford 057D,E01010817,2660,1419,1241
Bradford 057E,E01010818,2082,1058,1024
Bradford 058A,E01010752,2125,1077,1048
Bradford 058B,E01010753,1316,665,651
Bradford 058C,E01010754,1558,790,768
Bradford 058D,E01010756,1801,902,899
Bradford 058E,E01010758,1293,654,639
Bradford 058F,E01010759,1557,773,784
Bradford 058G,E01010760,1918,951,967
Bradford 059A,E01010741,1400,738,662
Bradford 059B,E01010845,2096,1111,985
Bradford 059C,E01010849,1399,711,688
Bradford 059D,E01010850,1392,721,671
Bradford 059E,E01010851,1424,729,695
Bradford 059F,E01010864,1239,627,612
Bradford 059G,E01010867,1756,878,878
Bradford 059H,E01010874,1511,805,706
Bradford 060A,E01010746,2042,1059,983
Bradford 060B,E01010750,1521,786,735
Bradford 060C,E01010751,1400,716,684
Bradford 060D,E01010865,1595,817,778
Bradford 060E,E01010866,1324,677,647
Bradford 061A,E01010868,1663,866,797
