"","conceptId","term"
"1",109006,"Anxiety disorder of childhood OR adolescence (disorder)"
"2",162004,"Severe manic bipolar I disorder without psychotic features (disorder)"
"3",281004,"Dementia associated with alcoholism (disorder)"
"4",568005,"Tic disorder (disorder)"
"5",596004,"Premenstrual dysphoric disorder (disorder)"
"6",600009,"Pyromania (disorder)"
"7",613003,"Fragile X syndrome (disorder)"
"8",651003,"Root work (disorder)"
"9",792004,"Jakob-Creutzfeldt disease (disorder)"
"10",832007,"Moderate major depression (disorder)"
"11",899001,"Axis I diagnosis (disorder)"
"12",1145003,"Developmental speech disorder (disorder)"
"13",1164009,"Elimination disorder (disorder)"
"14",1196001,"Chronic bipolar II disorder, most recent episode major depressive (disorder)"
"15",1376001,"Obsessive compulsive personality disorder (disorder)"
"16",1380006,"Agoraphobia without history of panic disorder with limited symptom attacks (disorder)"
"17",1383008,"Hallucinogen mood disorder (disorder)"
"18",1499003,"Bipolar I disorder, single manic episode with postpartum onset (disorder)"
"19",1686006,"Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder (disorder)"
"20",1816003,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks (disorder)"
"21",1855002,"Developmental academic disorder (disorder)"
"22",1891009,"Non-organic enuresis (finding)"
"23",1973000,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions (disorder)"
"24",2312009,"Reactive attachment disorder of infancy OR early childhood, inhibited type (disorder)"
"25",2403008,"Psychoactive substance dependence (disorder)"
"26",2506003,"Early onset dysthymia (disorder)"
"27",2618002,"Chronic recurrent major depressive disorder (disorder)"
"28",2776000,"Delirium (disorder)"
"29",2815001,"Sexual pyromania (disorder)"
"30",2838003,"Piblokto (disorder)"
"31",2994004,"Brain fag (disorder)"
"32",3109008,"Secondary dysthymia early onset (disorder)"
"33",3158007,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission (disorder)"
"34",3298001,"Amnestic disorder (disorder)"
"35",3503000,"Gender identity disorder of adolescence, previously asexual (disorder)"
"36",3530005,"Bipolar I disorder, single manic episode, in full remission (disorder)"
"37",3586005,"Psychogenic fugue (disorder)"
"38",3914008,"Mental disorder in childhood (disorder)"
"39",4296008,"Transsexualism (disorder)"
"40",4306003,"Cluster B personality disorder (disorder)"
"41",4441000,"Severe bipolar disorder with psychotic features (disorder)"
