YearTrunk,LSOA11CD,17-18,17-18,17-18,17-18,17-18,17-18,17-18,17-18,17-18,17-18,17-18,17-18,18-19,18-19,18-19,18-19,18-19,18-19,18-19,18-19,18-19,18-19,18-19,18-19,19-20,19-20,19-20,19-20,19-20,19-20,19-20,19-20,19-20,19-20,19-20,19-20,20-21,20-21,20-21,20-21,20-21,20-21,20-21,20-21,20-21,20-21,20-21,20-21,21-22,21-22,21-22,21-22,21-22,21-22,21-22,21-22,21-22,21-22,21-22,21-22
incident_start_month,,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March
0,E01010568,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
1,E01010569,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,4.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,4.0,2.0,3.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0
2,E01010570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,E01010571,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,11.0,9.0,1.0,3.0,5.0,5.0,3.0,0.0,3.0,1.0,5.0,0.0,4.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,E01010572,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,E01010573,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0
6,E01010574,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
7,E01010575,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
8,E01010576,2.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
