,LSOA11CD,17-18_April,17-18_May,17-18_June,17-18_July,17-18_August,17-18_September,17-18_October,17-18_November,17-18_December,17-18_January,17-18_February,17-18_March,18-19_April,18-19_May,18-19_June,18-19_July,18-19_August,18-19_September,18-19_October,18-19_November,18-19_December,18-19_January,18-19_February,18-19_March,19-20_April,19-20_May,19-20_June,19-20_July,19-20_August,19-20_September,19-20_October,19-20_November,19-20_December,19-20_January,19-20_February,19-20_March,20-21_April,20-21_May,20-21_June,20-21_July,20-21_August,20-21_September,20-21_October,20-21_November,20-21_December,20-21_January,20-21_February,20-21_March,21-22_April,21-22_May,21-22_June,21-22_July,21-22_August,21-22_September,21-22_October,21-22_November,21-22_December,21-22_January,21-22_February,21-22_March,Mean_dev,MH_call_rate,%non-crime,Night-time_ratio,Temporalvolatility(CV),%attended,%highacuity,slope,lsoa_lq,Percentage change
0,E01010568,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,-27.799999999999997,0.0296684118673647,96.07843137254902,0.2156862745098039,0.6735147036502169,0.6078431372549019,0.3725490196078431,0.0060475411413723,0.6451233641973371,0.1739583333333333
1,E01010569,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,4.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,4.0,2.0,3.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,14.200000000000003,0.0529612756264236,81.72043010752688,0.1935483870967742,0.4699821036844841,0.6559139784946236,0.4946236559139785,0.0011638197534156,1.2237987416339302,0.2897727272727272
2,E01010570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.8,0.0126835781041388,73.68421052631578,0.0526315789473684,0.5008177649044795,0.7368421052631579,0.5789473684210527,0.03296,0.2673231224853395,0.2777777777777777
3,E01010571,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,11.0,9.0,1.0,3.0,5.0,5.0,3.0,0.0,3.0,1.0,5.0,0.0,4.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.200000000000003,0.0488683127572016,77.89473684210526,0.2631578947368421,0.9265959032530596,0.8842105263157894,0.7473684210526316,0.0368089951962565,1.0443406497317729,0.4828023828023828
4,E01010572,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.8,0.0148347943358057,54.54545454545454,0.0454545454545454,0.596663748467176,0.7727272727272727,0.5909090909090909,0.0229632343959936,0.3321404917985219,0.1964285714285714
5,E01010573,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,-55.8,0.0125683060109289,65.21739130434783,0.1739130434782608,0.4255308564605155,0.8695652173913043,0.8260869565217391,0.007595769926987,0.2764174885674446,0.0583333333333333
6,E01010574,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-58.8,0.0142247510668563,100.0,0.35,0.4618802153517006,0.65,0.45,0.0115420129270544,0.3280860024463591,0.1145833333333333
7,E01010575,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,-41.8,0.0235069885641677,83.78378378378379,0.081081081081081,0.4592148058428265,0.7837837837837838,0.6216216216216216,0.0134168738173858,0.5266017970787505,0.0925925925925925
8,E01010576,2.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-53.8,0.0164907651715039,92.0,0.36,0.4998461301702293,0.56,0.36,-0.0180078713253439,0.4129527531499343,0.2559523809523809
9,E01010577,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-58.8,0.0128865979381443,75.0,0.2,0.4618802153517006,1.0,0.8,-0.0001840293220053,0.2785694820259871,0.1458333333333333
