2021 super output area - lower layer,mnemonic,Total_pop,Female,Male,Total_HHs,1_HH,2_HH,3_HH,4_HH_or_more,Age_24_below,Age_ 25_34,Age_35_49,Age_50_64,Age_65_over,"Asian, Asian British or Asian Welsh","Black, Black British, Black Welsh, Caribbean or African",Mixed or Multiple ethnic groups,White,Other ethnic group,Unemployment,IMD_score
Bradford 001A,E01010646,1348,739,609,667,246,274,70,77,244,64,193,320,527,11,4,13,1317,2,620,5.601
Bradford 001B,E01010647,1057,557,500,527,217,178,55,77,220,82,166,219,368,7,9,11,1031,0,480,11.33
Bradford 001C,E01010648,1379,721,658,658,199,301,80,78,260,86,208,326,498,7,2,17,1352,0,605,5.064
Bradford 001D,E01010692,1917,1013,904,906,359,322,94,131,360,79,327,491,661,32,2,26,1854,3,891,7.156
Bradford 002A,E01010691,1576,822,754,674,176,270,97,131,395,61,271,389,461,22,3,30,1518,2,621,3.679
Bradford 002B,E01010693,1476,760,716,573,107,239,85,142,369,78,245,321,463,34,5,25,1408,2,593,3.449
Bradford 002C,E01010694,1541,803,738,628,129,298,69,132,362,57,223,352,547,14,6,17,1502,2,716,4.893
Bradford 002D,E01010695,1554,845,709,848,405,276,90,77,299,168,250,353,485,39,9,34,1468,5,622,9.104
Bradford 002E,E01010696,1611,816,795,622,132,218,106,166,444,100,330,360,378,27,10,28,1542,6,547,5.119
Bradford 002F,E01010697,1449,783,666,637,200,249,75,113,299,94,207,333,517,25,4,25,1389,5,635,3.461
Bradford 002G,E01010698,1933,1023,910,959,396,319,134,110,436,238,361,390,506,34,15,69,1811,9,687,10.319
Bradford 002H,E01010699,1977,1045,932,890,319,272,137,162,572,165,393,377,468,22,4,57,1880,15,701,19.909
Bradford 003A,E01010767,1444,744,700,631,216,191,94,130,404,101,286,288,369,29,4,31,1377,1,517,11.811
Bradford 003B,E01010768,1626,823,803,646,122,246,128,150,464,121,312,422,307,27,2,21,1566,9,491,3.203
Bradford 003C,E01010769,1567,814,753,743,285,240,121,97,370,193,334,320,350,11,5,21,1528,4,502,8.228
Bradford 003D,E01010771,1224,625,599,494,85,214,92,103,303,94,236,243,354,19,4,26,1175,2,457,3.468
Bradford 005A,E01010770,1768,868,900,673,113,258,117,185,517,90,376,421,365,9,2,22,1733,1,561,4.754
Bradford 005B,E01010772,1269,651,618,508,96,215,74,123,329,72,232,282,356,26,12,17,1213,1,463,4.514
Bradford 005C,E01010773,1562,787,775,681,201,248,98,134,412,133,330,341,346,28,7,11,1503,10,478,4.663
Bradford 005D,E01010774,1596,820,776,754,248,302,96,108,353,175,287,338,443,11,9,25,1547,4,598,6.091
Bradford 006A,E01010706,1564,806,758,705,222,269,104,110,354,123,260,431,395,51,3,15,1489,9,564,8.263
Bradford 006B,E01010707,1831,873,958,795,236,313,109,137,446,227,334,435,394,320,5,49,1400,58,583,9.945
Bradford 006C,E01010708,1675,852,823,638,152,244,88,154,550,221,318,330,259,534,9,28,1086,18,552,23.242
Bradford 006D,E01010709,2718,1378,1340,1054,250,375,156,273,835,247,589,514,533,420,13,42,2223,17,854,11.122
Bradford 007A,E01010719,1862,922,940,516,113,99,60,244,872,238,377,203,173,1395,9,30,380,48,692,45.97
Bradford 007B,E01010727,1707,837,870,752,265,278,79,130,413,180,334,376,404,339,8,27,1311,22,652,26.63
Bradford 007C,E01010728,1894,953,941,516,135,97,57,227,794,265,389,237,210,1301,7,24,521,43,750,42.281
Bradford 007D,E01010729,1723,890,833,489,84,164,46,195,576,183,303,257,403,899,8,28,726,62,745,19.962
Bradford 008A,E01010700,1644,813,831,465,104,81,58,222,744,264,352,176,106,1152,12,27,414,37,605,49.099
Bradford 008B,E01010701,1505,766,739,434,115,67,56,196,686,231,312,145,131,1205,9,14,254,23,590,54.949
Bradford 008C,E01010702,2060,1058,1002,489,104,63,45,277,907,308,424,193,224,1787,5,18,202,50,829,47.355
Bradford 008D,E01010703,1661,888,773,649,176,227,98,148,569,235,332,276,249,584,7,32,1034,3,540,32.407
Bradford 008E,E01010704,1359,679,680,608,198,213,97,100,395,197,266,272,230,85,3,22,1244,6,444,28.901
Bradford 008F,E01010705,1654,878,776,680,164,257,124,135,452,163,292,352,397,129,0,37,1489,2,565,16.747
Bradford 008G,E01010710,2001,915,1086,939,541,155,72,171,681,401,404,354,161,971,27,35,908,59,862,74.227
Bradford 009A,E01010712,1701,840,861,474,119,72,54,229,810,254,379,160,99,1215,22,19,421,24,617,46.266
Bradford 009B,E01010720,1522,816,706,632,210,193,88,141,566,199,289,270,191,387,5,41,1069,17,561,54.436
Bradford 009C,E01010721,1922,1008,914,806,254,253,135,164,678,297,351,341,259,217,20,73,1579,35,620,61.852
Bradford 009D,E01010723,1582,803,779,489,125,99,65,200,698,257,359,149,118,1158,15,13,368,26,604,56.224
Bradford 009E,E01010724,1386,713,673,609,223,187,83,116,452,162,291,262,218,280,10,34,1048,16,529,44.509
Bradford 009F,E01010725,1533,793,740,693,272,217,92,112,464,204,292,321,252,260,6,29,1239,0,534,33.412
Bradford 010A,E01010579,1509,766,743,637,158,272,92,115,320,104,255,345,485,63,12,22,1408,4,631,4.691
Bradford 010B,E01010580,2513,1299,1214,1051,279,394,172,206,661,205,499,541,609,89,13,42,2358,13,840,4.293
Bradford 010C,E01010764,1620,819,801,687,154,306,100,127,370,97,277,405,471,42,1,24,1547,6,611,7.376
Bradford 010D,E01010765,2282,1179,1103,1107,424,370,167,146,524,276,415,509,556,58,26,32,2151,13,807,15.944
Bradford 010E,E01010766,1216,642,574,539,139,232,77,91,271,73,220,281,371,19,1,13,1178,8,446,2.593
Bradford 011A,E01010711,1535,690,845,865,516,199,63,87,452,225,308,254,295,367,19,62,1080,8,780,75.65
Bradford 011B,E01010713,1567,825,742,652,186,218,126,122,554,239,280,266,228,93,19,50,1391,10,559,57.386
Bradford 011C,E01010714,1383,714,669,623,209,225,97,92,451,190,263,262,217,164,4,29,1191,0,450,37.77
Bradford 011D,E01010716,1990,994,996,946,369,316,125,136,565,299,379,441,305,63,35,70,1805,19,702,40.958
Bradford 012A,E01010715,1065,572,493,466,141,165,77,83,326,111,175,237,218,35,4,19,1002,6,402,40.236
Bradford 012B,E01010717,1636,889,747,691,213,227,117,134,574,242,295,286,241,189,1,45,1388,12,510,37.382
Bradford 012C,E01010718,1515,803,712,654,225,211,83,135,546,181,273,318,198,15,19,38,1439,6,562,52.571
Bradford 012D,E01010726,1426,705,721,610,167,239,85,119,341,177,211,355,342,110,1,17,1289,5,522,11.886
Bradford 012E,E01010859,1837,963,874,777,170,331,147,129,475,236,287,394,444,63,2,46,1722,4,646,11.505
Bradford 013A,E01010573,1830,926,904,817,215,339,132,131,422,131,342,508,428,32,6,12,1772,4,648,11.205
Bradford 013B,E01010574,1406,740,666,639,216,249,81,93,291,96,239,295,485,26,6,27,1343,6,603,9.573
Bradford 013C,E01010575,1574,822,752,757,279,284,98,96,326,126,278,348,495,25,0,12,1530,6,661,10.712
Bradford 013D,E01010577,1552,790,762,655,152,286,87,130,396,101,294,375,387,21,10,30,1486,5,547,8.878
Bradford 014A,E01010722,1639,823,816,645,180,227,90,148,557,208,308,311,258,168,16,32,1419,1,618,49.685
Bradford 014B,E01010860,1723,881,842,737,187,292,130,128,460,194,334,404,330,23,5,24,1669,2,504,12.123
Bradford 014C,E01010862,1634,834,800,719,218,254,120,127,443,194,317,393,292,4,3,27,1600,4,481,10.637
Bradford 014D,E01010863,1413,715,698,606,146,249,110,101,353,147,257,357,299,21,5,20,1368,2,457,9.31
Bradford 015A,E01010578,1604,816,788,773,313,283,89,88,333,182,333,384,372,56,7,28,1511,2,591,20.479
Bradford 015B,E01010581,1645,831,814,704,182,276,124,122,484,222,321,330,288,26,15,41,1561,5,471,20.228
Bradford 015C,E01010582,1669,855,814,743,262,225,132,124,460,250,392,310,258,22,3,37,1600,6,458,16.534
Bradford 015D,E01010584,1769,913,856,902,412,273,108,109,465,299,339,368,299,72,20,35,1636,6,579,30.58
Bradford 015E,E01010585,2009,1034,975,1031,493,289,121,128,488,216,410,364,527,74,17,45,1855,16,760,20.995
Bradford 016A,E01010568,1719,853,866,826,298,293,136,99,412,167,332,355,449,42,9,25,1635,6,618,10.903
Bradford 016B,E01010569,1756,903,853,843,339,257,120,127,459,203,361,345,389,21,17,39,1674,5,666,35.343
Bradford 016C,E01010571,1944,966,978,938,377,302,129,130,595,321,398,311,320,54,27,85,1766,12,594,32.622
Bradford 016D,E01010572,1483,769,714,674,179,285,124,86,302,177,257,361,387,26,4,28,1422,2,523,11.414
Bradford 016E,E01010576,1516,800,716,670,194,286,81,109,348,150,238,374,404,57,7,14,1429,9,535,7.727
Bradford 017A,E01010683,2299,1171,1128,1042,304,405,187,146,555,440,493,515,298,118,15,58,2088,19,493,10.449
Bradford 017B,E01010684,1508,806,702,667,205,247,111,104,405,143,273,366,320,28,11,83,1385,2,492,15.633
Bradford 017C,E01010685,1680,865,815,778,264,296,94,124,413,180,339,371,376,32,5,31,1611,3,527,20.487
Bradford 017D,E01010686,1755,895,860,778,220,302,128,128,424,157,340,379,456,48,6,37,1663,3,628,14.398
Bradford 018A,E01010570,1498,745,753,585,106,259,92,128,346,87,262,336,466,60,4,19,1411,3,603,6.04
Bradford 018B,E01010583,1260,633,627,586,212,206,75,93,344,132,240,276,267,47,7,40,1163,4,493,44.32
Bradford 018C,E01010784,1579,837,742,773,308,265,104,96,394,274,382,294,235,54,13,61,1426,22,454,29.675
Bradford 018D,E01010785,1569,838,731,869,451,255,82,81,302,295,336,307,331,101,23,47,1398,3,500,14.151
Bradford 018E,E01010786,1587,847,740,550,141,177,71,161,466,122,323,293,383,451,10,61,1050,13,635,16.717
Bradford 018F,E01010790,1601,837,764,602,116,230,106,150,473,166,328,288,349,400,6,23,1141,34,540,10.471
Bradford 019A,E01010680,1789,975,814,855,334,287,124,110,670,269,321,298,231,23,27,74,1657,8,719,55.665
Bradford 019B,E01010681,1503,759,744,575,80,255,100,140,393,181,265,372,290,156,12,32,1267,36,430,6.058
Bradford 019C,E01010682,1433,772,661,683,285,189,109,100,398,176,266,296,296,38,14,48,1327,4,562,43.802
Bradford 019D,E01010687,1802,915,887,737,171,279,142,145,483,221,397,434,265,41,12,43,1701,5,462,7.478
Bradford 019E,E01010688,1901,949,952,853,316,271,123,143,528,292,420,381,279,70,23,73,1728,9,498,22.905
Bradford 019F,E01010689,1954,995,959,878,279,312,152,135,512,371,393,405,273,116,15,73,1744,7,494,20.905
Bradford 019G,E01010690,1859,949,910,854,348,252,116,138,447,223,355,402,429,145,10,47,1627,30,669,16.928
Bradford 020B,E01010782,2225,1113,1112,1101,509,283,170,139,716,380,524,371,234,134,46,73,1947,22,740,53.659
Bradford 020C,E01010787,1562,803,759,688,235,234,83,136,387,151,317,347,359,277,18,37,1220,10,573,15.053
Bradford 020D,E01010788,1394,689,705,578,211,181,73,113,386,186,300,270,256,209,11,52,1101,22,457,19.318
Bradford 020E,E01033689,1249,558,691,843,544,224,48,27,299,342,271,223,113,121,14,48,1051,15,457,40.389
Bradford 020F,E01033694,1059,520,539,569,255,196,70,48,232,194,284,212,138,55,13,32,954,5,315,23.425
Bradford 021A,E01010776,1608,828,780,682,203,233,119,127,515,200,324,318,253,115,46,56,1378,19,574,39.221
Bradford 021B,E01010777,1472,722,750,780,382,231,77,90,463,264,281,288,177,109,16,38,1305,5,569,67.63
Bradford 021C,E01010779,1609,859,750,767,283,260,114,110,460,250,291,290,320,53,5,37,1502,10,572,39.706
Bradford 021D,E01010781,1475,783,692,621,197,190,107,127,482,225,291,291,185,38,18,45,1369,8,485,31.292
Bradford 021E,E01010783,1572,803,769,683,215,228,107,133,436,199,276,336,326,122,7,50,1364,28,527,24.018
Bradford 022A,E01010586,1602,854,748,741,217,313,111,100,327,166,233,409,467,25,2,30,1542,1,631,5.11
Bradford 022B,E01010587,2062,1063,999,886,266,311,132,177,552,225,449,482,354,191,8,37,1809,17,612,13.879
