lsoa11,year,dla_pip_pct,est_qof_dep,antidep_rate,z_mh_rate,samhi_index,samhi_dec
E01000001,2017,0,5.381444588,18.62178298,-1.047830369,-1.382155793,1
E01000002,2017,0,5.384146595,18.54120177,-1.20586911,-1.478744424,1
E01000003,2017,1.870407482,5.54210048,18.94367178,0.133749892,-0.579886007,3
E01000005,2017,1.668984701,6.886791188,15.4523776,-0.730633219,-0.975073322,1
E01000006,2017,0.832109643,5.277262633,13.36952305,-0.893386348,-1.369362704,1
E01000007,2017,0.684655658,4.930360502,13.66431916,-0.544601499,-1.216821406,1
E01000008,2017,1.582471089,4.621271991,12.8255421,-0.586278944,-1.290408081,1
E01000009,2017,1.476793249,5.230520711,12.98937402,-0.427517639,-1.086357574,1
E01000010,2017,1.069673316,5.47988392,15.07693699,-0.805580682,-1.245594138,1
E01000011,2017,1.409277745,5.459046734,12.94719672,-0.864160277,-1.315066601,1
E01000012,2017,1.477832512,5.006279969,12.70445016,-0.743800403,-1.320988453,1
E01000013,2017,1.412275937,5.201122543,19.78128674,-0.414440878,-0.961167774,1
E01000014,2017,1.836492891,5.313318058,19.64400727,0.27438164,-0.519847275,3
E01000015,2017,1.818181818,5.304192047,19.17581962,-0.408737793,-0.943291603,1
E01000016,2017,1.755412522,5.072810243,19.87892335,-0.044663907,-0.750528842,2
E01000017,2017,2.421924793,5.120584672,19.20890137,0.110019405,-0.649512625,2
E01000018,2017,2.714932127,5.077046132,19.1396194,-0.13091636,-0.799542888,2
E01000019,2017,1.61394448,6.181214968,21.59634922,-0.449112082,-0.791841335,2
E01000020,2017,2.615384615,6.358815099,22.99586129,0.693872474,-0.032527631,5
E01000021,2017,1.694915254,5.685812621,18.51206325,-0.222778236,-0.784023283,2
E01000022,2017,1.586206897,6.15868889,21.86598654,-0.496888493,-0.819665684,2
E01000023,2017,1.009251472,6.103598277,18.86680825,-0.708332434,-1.02357069,1
E01000024,2017,1.449275362,6.321746476,21.13226021,-0.025017614,-0.527094816,3
E01000025,2017,2.112251056,7.00519604,22.33096396,-0.202392273,-0.506764415,3
E01000027,2017,1.875669882,3.944683613,21.39205336,0.643695317,-0.518748192,3
E01000028,2017,2.395892755,3.867940037,20.51573741,1.028973113,-0.309203428,4
E01000029,2017,1.248581158,4.774996757,21.15153263,-0.039811319,-0.787655716,2
E01000030,2017,1.997450064,3.796186492,21.00731604,-0.156336773,-1.039105074,1
E01000031,2017,1.018675722,5.829749413,22.70255672,-0.755177741,-1.02282556,1
E01000032,2017,1.020408163,5.484382583,22.44237958,-0.326444532,-0.82237048,2
E01000033,2017,2.504696306,5.330519287,25.84753825,-0.426174347,-0.816482756,2
E01000034,2017,1.947236181,4.371997921,23.02949516,2.290659866,0.594671058,8
